twinPointId,Site,Building,Level,Space,Equipment,deviceType,Point,pointType,pointSpecification,hasQuantity,unit,minPresValue,maxPresValue,pointAddress,description
22be59f4-a375-43f1-acfb-d6e4a5da0a1b,site_tokyo_001,building_A,level_1F,room_101,pac_001,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_001_power,switch,Command,Active_Power,,,,40001,会議室101 エアコン1 電源
3e4695c2-1bb5-43a7-ad52-92fc31719e9e,site_tokyo_001,building_A,level_1F,room_101,pac_001,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_001_mode,operation_mode,Command,,,,,40002,会議室101 エアコン1 運転モード
4cffb27a-a91d-45c7-8b3c-394a04ca5a6d,site_tokyo_001,building_A,level_1F,room_101,pac_001,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_001_setpoint_temp,temperature_setpoint,Setpoint,Temperature,celsius,18,30,40003,会議室101 エアコン1 設定温度
37af1e6b-06b4-4b11-9db4-719d5928764e,site_tokyo_001,building_A,level_1F,room_101,pac_001,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_001_return_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,30001,会議室101 エアコン1 吸込温度
95cbbe1b-34da-45ba-8128-8dd452ec2e34,site_tokyo_001,building_A,level_1F,room_101,pac_001,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_001_status,operation_status,Status,,,,,10001,会議室101 エアコン1 運転状態
df46f18c-ea39-4108-800b-ad55e74b2264,site_tokyo_001,building_A,level_1F,room_101,lighting_001,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_001_switch,light_switch,Command,,,,,DO01,会議室101 照明1 スイッチ
924ebae7-6415-4c63-9c57-56ab2269770f,site_tokyo_001,building_A,level_1F,room_101,lighting_001,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_001_dimmer,dimmer_level,Setpoint,,percent,0,100,AO01,会議室101 照明1 調光レベル
b93718a4-2768-4182-96a2-837fb14565a2,site_tokyo_001,building_A,level_1F,room_101,lighting_001,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_001_status,light_status,Status,,,,,DI01,会議室101 照明1 点灯状態
24b4949b-eab7-4270-8d84-e1576f36eadf,site_tokyo_001,building_A,level_1F,room_101,lighting_002,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_002_switch,light_switch,Command,,,,,DO02,会議室101 照明2 スイッチ
2609a7ba-4071-42fa-a12b-6672b349f741,site_tokyo_001,building_A,level_1F,room_101,lighting_002,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_002_dimmer,dimmer_level,Setpoint,,percent,0,100,AO02,会議室101 照明2 調光レベル
19bfcb3e-8856-430e-b647-86fce23c440d,site_tokyo_001,building_A,level_1F,room_101,lighting_002,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_002_status,light_status,Status,,,,,DI02,会議室101 照明2 点灯状態
3eb540af-dbf2-4eb9-be24-1d5483602450,site_tokyo_001,building_A,level_1F,room_101,sensor_001,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_001_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,1,会議室101 環境センサー1 温度
588d1d42-6828-4adf-853e-d3de162f434f,site_tokyo_001,building_A,level_1F,room_101,sensor_001,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_001_humidity,humidity_sensor,Measurement,Relative_Humidity,percent,0,100,2,会議室101 環境センサー1 湿度
ee2ec4de-0567-432c-9818-d361bd66bb23,site_tokyo_001,building_A,level_1F,room_101,sensor_001,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_001_co2,co2_sensor,Measurement,CO2_Concentration,ppm,0,5000,3,会議室101 環境センサー1 CO2濃度
6dcf5f3b-6c6b-494e-b5c3-a6fbc76a3036,site_tokyo_001,building_A,level_1F,room_101,sensor_001,dtmi:sbco:equipment:EnvironmentalSensor:ENV_MULTI_01:1,sensor_001_status,sensor_status,Status,,,,,100,会議室101 環境センサー1 状態
3d48e982-30d4-40cc-b7ee-b9d47162b179,site_tokyo_001,building_A,level_1F,room_101,sensor_002,dtmi:sbco:equipment:EnvironmentalSensor:TEMP_ONLY_01:1,sensor_002_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,11,会議室101 温度センサー2 温度
494e2ef0-a9ca-40ba-8cba-6becfc864e91,site_tokyo_001,building_A,level_1F,room_101,sensor_002,dtmi:sbco:equipment:EnvironmentalSensor:TEMP_ONLY_01:1,sensor_002_status,sensor_status,Status,,,,,110,会議室101 温度センサー2 状態
b3d45282-6c2f-4cc9-a2e4-6f0e3cf9d028,site_tokyo_001,building_A,level_1F,room_102,pac_002,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_002_power,switch,Command,Active_Power,,,,40101,事務室102 エアコン1 電源
81aa2756-7191-481a-ace3-b52736989140,site_tokyo_001,building_A,level_1F,room_102,pac_002,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_002_mode,operation_mode,Command,,,,,40102,事務室102 エアコン1 運転モード
97c2fb18-3256-4259-8fac-04e8c2f360bd,site_tokyo_001,building_A,level_1F,room_102,pac_002,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_002_setpoint_temp,temperature_setpoint,Setpoint,Temperature,celsius,18,30,40103,事務室102 エアコン1 設定温度
3c44dcad-d739-412c-80d5-a71f1cc1a11f,site_tokyo_001,building_A,level_1F,room_102,pac_002,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_002_return_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,30101,事務室102 エアコン1 吸込温度
cd065217-c058-4c82-a0a4-0d350729669d,site_tokyo_001,building_A,level_1F,room_102,pac_002,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_002_status,operation_status,Status,,,,,10101,事務室102 エアコン1 運転状態
b72016fb-aff1-4813-89d5-99510d792dca,site_tokyo_001,building_A,level_1F,room_102,pac_003,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_003_power,switch,Command,Active_Power,,,,40111,事務室102 エアコン2 電源
1620b850-7a05-4504-863f-b8525ed81b65,site_tokyo_001,building_A,level_1F,room_102,pac_003,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_003_mode,operation_mode,Command,,,,,40112,事務室102 エアコン2 運転モード
9d0c2f1e-96ea-4e11-9ba6-144708ff4f6c,site_tokyo_001,building_A,level_1F,room_102,pac_003,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_003_setpoint_temp,temperature_setpoint,Setpoint,Temperature,celsius,18,30,40113,事務室102 エアコン2 設定温度
a378307e-1172-4935-8def-3348e30d73e9,site_tokyo_001,building_A,level_1F,room_102,pac_003,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_003_return_temp,temperature_sensor,Measurement,Dry_Bulb_Temperature,celsius,-10,50,30111,事務室102 エアコン2 吸込温度
4b5a466b-db84-40b7-87fd-42fad3e45e01,site_tokyo_001,building_A,level_1F,room_102,pac_003,dtmi:sbco:equipment:PackageAirConditioner:PAC_28GV:1,pac_003_status,operation_status,Status,,,,,10111,事務室102 エアコン2 運転状態
5dfc9152-843a-4319-9e02-23f3b637f0b5,site_tokyo_001,building_A,level_1F,room_102,lighting_003,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_003_switch,light_switch,Command,,,,,DO11,事務室102 照明1 スイッチ
7e1e9382-3dfc-4ceb-8a1b-309d8de841fe,site_tokyo_001,building_A,level_1F,room_102,lighting_003,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_003_dimmer,dimmer_level,Setpoint,,percent,0,100,AO11,事務室102 照明1 調光レベル
88936062-9e10-4d09-acaf-f0090a34015f,site_tokyo_001,building_A,level_1F,room_102,lighting_003,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_003_status,light_status,Status,,,,,DI11,事務室102 照明1 点灯状態
37dfc0c9-c645-406c-814e-21194e4cc736,site_tokyo_001,building_A,level_1F,room_102,lighting_004,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_004_switch,light_switch,Command,,,,,DO12,事務室102 照明2 スイッチ
6e44ba12-34d2-4edb-91b9-03ce57789d47,site_tokyo_001,building_A,level_1F,room_102,lighting_004,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_004_dimmer,dimmer_level,Setpoint,,percent,0,100,AO12,事務室102 照明2 調光レベル
783eb0ec-10cf-403d-956a-5dfb65c738f5,site_tokyo_001,building_A,level_1F,room_102,lighting_004,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_004_status,light_status,Status,,,,,DI12,事務室102 照明2 点灯状態
68e855fb-d6dc-447c-b97c-50a0b318c78e,site_tokyo_001,building_A,level_1F,room_102,lighting_005,dtmi:sbco:equipment:LightingFixture:LED_PNL_40W:1,lighting_005_switch,light_switch,Command,,,,,DO13,事務室102 照明3 スイッチ
